time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
3202,-7276.669900239999,781.0,178,139018,43,138237,-100883.10366317221,0.001,11997730.212788092
3222,-7261.65928923,781.0,179,139799,43,139018,-100636.48083386684,0.001,12038522.666613316
3241,-7260.056331069999,781.0,180,140580,43,139799,-100406.19504241357,0.001,13461925.35128241
3266,-7257.31583024,781.0,181,141361,43,140580,-100122.4286171575,0.001,11081128.528929258
3287,-7260.419831679999,781.0,182,142142,43,141361,-99708.73890645006,0.001,13994141.757022247
3308,-7239.408124139999,781.0,183,142923,43,142142,-99583.87325944302,0.001,13807474.400848271
3328,-7246.258286619999,781.0,184,143704,43,142923,-99319.27214708707,0.001,12278287.166673336
3349,-7223.738840209999,781.0,185,144485,43,143704,-99233.2265524968,0.001,15597003.69078105
3369,-7226.00346947,781.0,186,145266,43,144485,-98998.09312980153,0.001,10874649.769146128
3390,-7244.08619535,781.0,187,146047,43,145266,-98674.2589128521,0.001,11397113.703645166
3410,-7215.830558770001,781.0,188,146828,43,146047,-98266.27603833226,0.001,10726820.766795374
3429,-7255.715904189999,781.0,189,147609,43,146828,-97991.02880921894,0.001,13792657.098491518
3449,-7206.407493609999,781.0,190,148390,43,147609,-97574.97873319463,0.001,11190880.6103153
3469,-7139.680210869999,781.0,191,149171,43,148390,-97297.31531089949,0.001,11929710.309338989
3488,-7149.97601711,781.0,192,149952,42,149171,-96910.0206165973,0.001,10894835.884983195
3511,-7143.787075709999,781.0,193,150733,42,149952,-96655.8095090429,0.001,15068613.67865717
3531,-7141.160712259999,781.0,194,151514,42,150733,-96301.00309098912,0.001,12940802.165412933
3551,-7161.24604499,781.0,195,152295,42,151514,-96175.0165853073,0.001,10406439.891335227
3572,-7172.0827318599995,781.0,196,153076,42,152295,-95746.55730833867,0.001,12173882.923615556
3591,-7194.63716573,781.0,197,153857,42,153076,-95588.9852952945,0.001,12143092.60075224
3611,-7183.060433770001,781.0,198,154638,42,153857,-95704.8846730954,0.001,10330678.473111395
3631,-7186.4975407,781.0,199,155419,42,154638,-95762.90682018246,0.001,11182031.741877401
3651,-7174.766726000001,781.0,200,156200,42,155419,-95457.7178197023,0.001,13063071.36459667
3671,-7118.6169664,781.0,201,156981,42,156200,-95457.14474631882,0.001,11778515.885183258
3691,-7139.522832920001,781.0,202,157762,42,156981,-94859.29545454546,0.001,10450054.486095551
3711,-7166.841843630001,781.0,203,158543,42,157762,-94585.50599191741,0.001,12911487.29737516
3731,-7163.49165951,781.0,204,159324,42,158543,-94487.91019126121,0.001,12519945.470210467
3751,-7162.82327634,781.0,205,160105,42,159324,-93924.10365316902,0.001,11270133.992417574
3771,-7183.532657520001,781.0,206,160886,42,160105,-93806.60520366517,0.001,12210734.406229993
3790,-7147.374188450001,781.0,207,161667,42,160886,-93522.94941381241,0.001,11531404.322803296
3810,-7131.081260169999,781.0,208,162448,42,161667,-92993.31089948784,0.001,11759462.582286332
3829,-7114.082367399999,781.0,209,163229,42,162448,-93119.21514884764,0.001,10569666.24643886
3849,-7116.393455180001,781.0,210,164010,42,163229,-92910.7235915493,0.001,12425194.088318262
3869,-7074.4906102,781.0,211,164791,42,164010,-92405.70000400128,0.001,12105036.745118437
